# Time,Flux,FluxErr
-9.348397,0.999845,0.000062
-9.327964,0.999768,0.000062
-9.307530,0.999695,0.000062
-9.287097,0.999745,0.000062
-9.266663,0.999659,0.000062
-9.246229,0.999647,0.000062
-9.225796,0.999655,0.000062
-9.205362,0.999619,0.000062
-9.184929,0.999555,0.000062
-9.164495,0.999707,0.000062
-9.082761,0.999856,0.000062
-9.062327,0.999378,0.000062
-9.041894,0.999673,0.000062
-9.021460,0.999714,0.000062
-9.001026,0.999521,0.000062
-8.980593,0.999792,0.000062
-8.960159,0.999492,0.000062
-8.939726,0.999683,0.000062
-8.919292,0.999686,0.000062
-8.898859,0.999712,0.000062
-8.878425,0.999713,0.000062
-8.857991,0.999733,0.000062
-8.837558,0.999540,0.000062
-8.817124,0.999656,0.000062
-8.796691,0.999634,0.000062
-8.776257,0.999474,0.000062
-8.755823,0.999822,0.000062
-8.735390,0.999667,0.000062
-8.714956,0.999547,0.000062
-8.694523,0.999569,0.000062
-8.674089,0.999553,0.000062
-8.653655,0.999570,0.000062
-8.633222,0.999601,0.000062
-8.612788,0.999335,0.000062
-8.592355,0.999618,0.000062
-8.571921,0.999664,0.000062
-8.551488,0.999573,0.000062
-8.531054,0.999645,0.000062
-8.510620,0.999700,0.000062
-8.490187,0.999613,0.000062
-8.469753,0.999881,0.000062
-8.449320,0.999768,0.000062
-8.428886,0.999950,0.000062
-8.408452,0.999932,0.000062
-8.388019,0.999933,0.000062
-8.367585,0.999707,0.000062
-8.347152,0.999831,0.000062
-8.326718,0.999542,0.000062
-8.306284,0.999563,0.000062
-8.285851,0.999485,0.000062
-8.265417,0.999655,0.000062
-8.244984,0.999650,0.000062
-8.224550,0.999813,0.000062
-8.204116,0.999729,0.000062
-8.183683,0.999691,0.000062
-8.163249,0.999862,0.000062
-8.142816,0.999652,0.000062
-8.122382,0.999543,0.000062
-8.101948,0.999635,0.000062
-8.081515,0.999650,0.000062
-8.061081,0.999677,0.000062
-8.040648,0.999647,0.000062
-8.020214,0.999515,0.000062
-7.999780,0.999474,0.000062
-7.979347,0.999710,0.000062
-7.958913,0.999521,0.000062
-7.938480,0.999732,0.000062
-7.918046,0.999810,0.000062
-7.897612,0.999580,0.000062
-7.877179,0.999714,0.000062
-7.856745,0.999736,0.000062
-7.836312,0.999430,0.000062
-7.815878,0.999835,0.000062
-7.795444,0.999495,0.000062
-7.775011,0.999461,0.000062
-7.754577,0.999514,0.000062
-7.734144,0.999478,0.000062
-7.713710,0.999360,0.000062
-7.693276,0.999754,0.000062
-7.672843,0.999630,0.000062
-7.652409,0.999733,0.000062
-7.631976,0.999852,0.000062
-7.611542,0.999727,0.000062
-7.591108,0.999916,0.000062
-7.570675,0.999992,0.000062
-7.529808,0.999767,0.000062
-7.509374,0.999634,0.000062
-7.488940,0.999673,0.000062
-7.468507,0.999729,0.000062
-7.448073,0.999911,0.000062
-7.427640,0.999845,0.000062
-7.407206,0.999963,0.000062
-7.386772,0.999884,0.000062
-7.366339,0.999995,0.000062
-7.345905,0.999945,0.000062
-7.325471,0.999943,0.000062
-7.305038,0.999870,0.000062
-7.284604,0.999856,0.000062
-7.264171,0.999823,0.000062
-7.243737,0.999704,0.000062
-7.223303,0.999764,0.000062
-7.202870,0.999656,0.000062
-7.182436,0.999583,0.000062
-7.162003,0.999675,0.000062
-7.141569,0.999639,0.000062
-7.121135,0.999589,0.000062
-7.100702,0.999934,0.000062
-7.080268,1.000000,0.000062
-7.059834,0.999745,0.000062
-7.039401,0.999969,0.000062
-7.018967,0.999819,0.000062
-6.998534,0.999775,0.000062
-6.978100,0.999957,0.000062
-6.957666,0.999719,0.000062
-6.937233,0.999922,0.000062
-6.916799,0.999724,0.000062
-6.896366,0.999672,0.000062
-6.875932,0.999819,0.000062
-6.855498,0.999776,0.000062
-6.835065,0.999622,0.000062
-6.814631,0.999784,0.000062
-6.794198,0.999663,0.000062
-6.773764,0.999655,0.000062
-6.753330,0.999825,0.000062
-6.732897,0.999477,0.000062
-6.712463,0.999656,0.000062
-6.692029,0.999745,0.000062
-6.671596,0.999637,0.000062
-6.651162,0.999465,0.000062
-6.630729,0.999689,0.000062
-6.610295,0.999655,0.000062
-6.589861,0.999473,0.000062
-6.569428,0.999647,0.000062
-6.548994,0.999568,0.000062
-6.528560,0.999560,0.000062
-6.508127,0.999494,0.000062
-6.487693,0.999551,0.000062
-6.467260,0.999583,0.000062
-6.446826,0.999665,0.000062
-6.426392,0.999718,0.000062
-6.405959,0.999629,0.000062
-6.385525,0.999598,0.000062
-6.365091,0.999524,0.000062
-6.344658,0.999461,0.000062
-6.324224,0.999637,0.000062
-6.303791,0.999619,0.000062
-6.283357,0.999455,0.000062
-6.262923,0.999678,0.000062
-6.242490,0.999479,0.000062
-6.222056,0.999514,0.000062
-6.201622,0.999687,0.000062
-6.181189,0.999488,0.000062
-6.160755,0.999692,0.000062
-6.140322,0.999505,0.000062
-6.119888,0.999469,0.000062
-6.099454,0.999686,0.000062
-6.079021,0.999544,0.000062
-6.058587,0.999412,0.000062
-6.038153,0.999403,0.000062
-6.017720,0.999413,0.000062
-5.997286,0.999319,0.000062
-5.976852,0.999443,0.000062
-5.956419,0.999309,0.000062
-5.935985,0.999284,0.000062
-5.915552,0.999339,0.000062
-5.895118,0.999223,0.000062
-5.874684,0.999316,0.000062
-5.854251,0.999420,0.000062
-5.833817,0.999235,0.000062
-5.813383,0.999330,0.000062
-5.792950,0.999169,0.000062
-5.772516,0.999281,0.000062
-5.752083,0.999298,0.000062
-5.731649,0.999398,0.000062
-5.711215,0.999173,0.000062
-5.690782,0.999394,0.000062
-5.670348,0.999255,0.000062
-5.649914,0.999322,0.000062
-5.629481,0.999576,0.000062
-5.609047,0.999147,0.000062
-5.588613,0.999493,0.000062
-5.568180,0.999418,0.000062
-5.547746,0.999320,0.000062
-5.527312,0.999274,0.000062
-5.506879,0.999413,0.000062
-5.486445,0.999331,0.000062
-5.466012,0.999431,0.000062
-5.445578,0.999417,0.000062
-5.425144,0.999320,0.000062
-5.404711,0.999411,0.000062
-5.384277,0.999327,0.000062
-5.363843,0.999333,0.000062
-5.343410,0.999426,0.000062
-5.322976,0.999335,0.000062
-5.302542,0.999473,0.000062
-5.282109,0.999354,0.000062
-5.261675,0.999453,0.000062
-5.241242,0.999434,0.000062
-5.220808,0.999449,0.000062
-5.200374,0.999302,0.000062
-5.179940,0.999277,0.000062
-5.159507,0.999260,0.000062
-5.139073,0.999228,0.000062
-5.118639,0.999301,0.000062
-5.098206,0.999253,0.000062
-5.077772,0.999078,0.000062
-5.057339,0.999193,0.000062
-5.036905,0.999233,0.000062
-5.016471,0.999090,0.000062
-4.996038,0.998928,0.000062
-4.975604,0.998963,0.000062
-4.955170,0.998938,0.000062
-4.914303,0.998882,0.000062
-4.893869,0.998757,0.000062
-4.873436,0.998684,0.000062
-4.853002,0.998822,0.000062
-4.832568,0.998913,0.000062
-4.812135,0.998902,0.000062
-4.791701,0.998838,0.000062
-4.771268,0.998754,0.000062
-4.750834,0.999020,0.000062
-4.730400,0.998869,0.000062
-4.709967,0.998946,0.000062
-4.689533,0.999029,0.000062
-4.669099,0.998986,0.000062
-4.648666,0.998999,0.000062
-4.628232,0.999119,0.000062
-4.607798,0.998955,0.000062
-4.587365,0.998936,0.000062
-4.546497,0.998523,0.000062
-4.526064,0.998715,0.000062
-4.505630,0.998645,0.000062
-4.485196,0.998576,0.000062
-4.464763,0.998667,0.000062
-4.444329,0.998746,0.000062
-4.423895,0.998501,0.000062
-4.403462,0.998663,0.000062
-4.383028,0.998608,0.000062
-4.362594,0.998364,0.000062
-4.342161,0.998582,0.000062
-4.321727,0.998329,0.000062
-4.301293,0.998267,0.000062
-4.280860,0.998326,0.000062
-4.260426,0.998156,0.000062
-4.239992,0.998104,0.000062
-4.219559,0.998150,0.000062
-4.199125,0.998231,0.000062
-4.178691,0.998070,0.000062
-4.158258,0.998209,0.000062
-4.137824,0.997842,0.000062
-4.117390,0.997886,0.000062
-4.096957,0.997891,0.000062
-4.076523,0.997866,0.000062
-4.035656,0.997681,0.000062
-4.015222,0.997646,0.000062
-3.994788,0.997891,0.000062
-3.974355,0.997877,0.000062
-3.953921,0.997724,0.000062
-3.933487,0.997838,0.000062
-3.913054,0.997638,0.000062
-3.892620,0.997636,0.000062
-3.872186,0.997556,0.000062
-3.851753,0.997591,0.000062
-3.831319,0.997703,0.000062
-3.810885,0.997685,0.000062
-3.790452,0.997519,0.000062
-3.770018,0.997621,0.000062
-3.749584,0.997606,0.000062
-3.729151,0.997475,0.000062
-3.708717,0.997476,0.000062
-3.688284,0.997429,0.000062
-3.667850,0.997372,0.000062
-3.647416,0.997349,0.000062
-3.626983,0.997275,0.000062
-3.606549,0.997228,0.000062
-3.586115,0.997259,0.000062
-3.565681,0.997372,0.000062
-3.545248,0.997163,0.000062
-3.524814,0.997188,0.000062
-3.504380,0.997126,0.000062
-3.483947,0.996985,0.000062
-3.463513,0.996971,0.000062
-3.443079,0.996943,0.000062
-3.422646,0.996954,0.000062
-3.402212,0.996959,0.000062
-3.381778,0.996988,0.000062
-3.361345,0.996759,0.000062
-3.340911,0.996915,0.000062
-3.320477,0.996698,0.000062
-3.300044,0.996515,0.000062
-3.279610,0.996577,0.000062
-3.259176,0.996555,0.000062
-3.238743,0.996446,0.000062
-3.218309,0.996623,0.000062
-3.197875,0.996474,0.000062
-3.177441,0.996345,0.000062
-3.157008,0.996381,0.000062
-3.136574,0.996263,0.000062
-3.116141,0.996249,0.000062
-3.095707,0.996289,0.000062
-3.075273,0.996173,0.000062
-3.054839,0.996169,0.000062
-3.034406,0.996193,0.000062
-3.013972,0.995930,0.000062
-2.993538,0.996103,0.000062
-2.973105,0.996117,0.000062
-2.952671,0.995864,0.000062
-2.932237,0.995998,0.000062
-2.911804,0.995891,0.000062
-2.891370,0.995719,0.000062
-2.870936,0.995816,0.000062
-2.850503,0.995650,0.000062
-2.830069,0.995679,0.000062
-2.809635,0.995712,0.000062
-2.789201,0.995537,0.000062
-2.768768,0.995700,0.000062
-2.748334,0.995669,0.000062
-2.727900,0.995376,0.000062
-2.707467,0.995506,0.000062
-2.687033,0.995494,0.000062
-2.666599,0.995332,0.000062
-2.646166,0.995496,0.000062
-2.625732,0.995473,0.000062
-2.605298,0.995315,0.000062
-2.584865,0.995537,0.000062
-2.564431,0.995301,0.000062
-2.543997,0.995121,0.000062
-2.523564,0.995245,0.000062
-2.503130,0.995155,0.000062
-2.482696,0.994944,0.000062
-2.462263,0.994966,0.000062
-2.441829,0.994727,0.000062
-2.421395,0.994719,0.000062
-2.400961,0.994758,0.000062
-2.380528,0.994505,0.000062
-2.360094,0.994593,0.000062
-2.339660,0.994678,0.000062
-2.319227,0.994568,0.000062
-2.298793,0.994633,0.000062
-2.278359,0.994709,0.000062
-2.257926,0.994291,0.000061
-2.237492,0.994505,0.000062
-2.217058,0.994510,0.000062
-2.196625,0.994249,0.000061
-2.176191,0.994277,0.000061
-2.155757,0.994229,0.000061
-2.135323,0.994115,0.000061
-2.114890,0.994191,0.000061
-2.094456,0.994186,0.000061
-2.074022,0.994025,0.000061
-2.053589,0.994094,0.000061
-2.033155,0.993976,0.000061
-2.012721,0.994008,0.000061
-1.992287,0.994091,0.000061
-1.971854,0.993946,0.000061
-1.951420,0.993929,0.000061
-1.930986,0.993955,0.000061
-1.910553,0.993845,0.000061
-1.890119,0.993762,0.000061
-1.869685,0.993564,0.000061
-1.849252,0.993515,0.000061
-1.828818,0.993522,0.000061
-1.808384,0.993534,0.000061
-1.787951,0.993544,0.000061
-1.767517,0.993551,0.000061
-1.747083,0.993358,0.000061
-1.726649,0.993284,0.000061
-1.706216,0.993275,0.000061
-1.685782,0.993180,0.000061
-1.665348,0.993236,0.000061
-1.644915,0.993245,0.000061
-1.624481,0.992984,0.000061
-1.604047,0.992943,0.000061
-1.563180,0.992808,0.000061
-1.542746,0.992757,0.000061
-1.522312,0.992693,0.000061
-1.501879,0.992655,0.000061
-1.481445,0.992477,0.000061
-1.461011,0.992441,0.000061
-1.440578,0.992222,0.000061
-1.420144,0.992389,0.000061
-1.399710,0.992290,0.000061
-1.379276,0.991915,0.000061
-1.358843,0.992068,0.000061
-1.338409,0.991996,0.000061
-1.317975,0.991903,0.000061
-1.297542,0.991828,0.000061
-1.277108,0.991611,0.000061
-1.256674,0.991477,0.000061
-1.236240,0.991417,0.000061
-1.215807,0.991537,0.000061
-1.195373,0.991112,0.000061
-1.174939,0.991187,0.000061
-1.154506,0.991134,0.000061
-1.134072,0.990956,0.000061
-1.113638,0.991003,0.000061
-1.093205,0.990859,0.000061
-1.072771,0.990596,0.000061
-1.052337,0.990587,0.000061
-1.031903,0.990421,0.000061
-1.011470,0.990347,0.000061
-0.991036,0.990227,0.000061
-0.970602,0.990088,0.000061
-0.950168,0.989957,0.000061
-0.929735,0.989893,0.000061
-0.909301,0.989664,0.000061
-0.888867,0.989649,0.000061
-0.868434,0.989585,0.000061
-0.848000,0.989195,0.000061
-0.827566,0.989253,0.000061
-0.807133,0.989242,0.000061
-0.786699,0.988903,0.000061
-0.766265,0.988974,0.000061
-0.745831,0.988882,0.000061
-0.725398,0.988595,0.000061
-0.704964,0.988622,0.000061
-0.684530,0.988301,0.000061
-0.664096,0.988069,0.000061
-0.643663,0.987975,0.000061
-0.623229,0.987718,0.000061
-0.602795,0.987387,0.000061
-0.582362,0.987510,0.000061
-0.561928,0.987311,0.000061
-0.541494,0.986938,0.000061
-0.521060,0.986918,0.000061
-0.500627,0.986493,0.000061
-0.480193,0.986465,0.000061
-0.459759,0.986412,0.000061
-0.439326,0.986139,0.000061
-0.418892,0.985792,0.000061
-0.398458,0.985738,0.000061
-0.378024,0.985366,0.000061
-0.357591,0.985614,0.000061
-0.337157,0.985174,0.000061
-0.316723,0.984761,0.000061
-0.296289,0.984739,0.000061
-0.275856,0.984257,0.000061
-0.255422,0.984101,0.000061
-0.234988,0.983973,0.000061
-0.214554,0.983667,0.000061
-0.194121,0.983392,0.000061
-0.173687,0.983345,0.000061
-0.153253,0.982900,0.000061
-0.132820,0.982737,0.000061
-0.112386,0.982462,0.000061
-0.091952,0.981926,0.000061
-0.071518,0.981905,0.000061
-0.051085,0.981617,0.000061
-0.030651,0.981085,0.000061
-0.010217,0.980985,0.000061
0.010217,0.980868,0.000061
0.030650,0.980327,0.000061
0.051084,0.980157,0.000061
0.071518,0.979649,0.000061
0.091951,0.979171,0.000061
0.112385,0.979078,0.000061
0.132819,0.978597,0.000061
0.153253,0.978272,0.000061
0.173686,0.977952,0.000061
0.194120,0.977412,0.000061
0.214554,0.976942,0.000061
0.234988,0.976731,0.000061
0.255421,0.976129,0.000061
0.275855,0.975833,0.000061
0.296289,0.975446,0.000061
0.316723,0.974976,0.000061
0.337156,0.974548,0.000061
0.357590,0.974163,0.000061
0.378024,0.973574,0.000061
0.398457,0.973266,0.000061
0.418891,0.972919,0.000061
0.439325,0.972094,0.000061
0.459759,0.971926,0.000061
0.480192,0.971233,0.000061
0.500626,0.970659,0.000061
0.541494,0.969616,0.000061
0.582361,0.968577,0.000061
0.602795,0.967804,0.000061
0.623229,0.967266,0.000061
0.643662,0.966524,0.000061
0.664096,0.965658,0.000061
0.684530,0.965061,0.000061
0.704964,0.964126,0.000061
0.725397,0.963202,0.000061
0.745831,0.962600,0.000061
0.766265,0.961732,0.000061
0.786699,0.960525,0.000061
0.807132,0.959719,0.000061
0.827566,0.958720,0.000061
0.848000,0.957298,0.000061
0.868433,0.956415,0.000061
0.888867,0.954793,0.000061
0.909301,0.953306,0.000061
0.929735,0.951837,0.000061
0.950169,0.950187,0.000061
0.970602,0.947970,0.000061
0.991036,0.946340,0.000060
1.011470,0.943815,0.000060
1.031904,0.941358,0.000060
1.052337,0.938795,0.000060
1.072771,0.935566,0.000060
